［取引先コード］,［取引先名］,［自社管理商品コード］,材料名,仕入量(g),仕入価格(\),［商品名］,［数量］,［単位］,単価,［金額］
1001,池伝株式会社,A0910732,キャラメルカスタード,1000,1150,ＮＫ　キャラメルカスタード　１ｋｇ,13,袋,1150,14950
1001,池伝株式会社,A0910738,白ざら糖,1000,320,カップ印　スペシャルシュガー　１ｋｇ　（白ざら糖）,32,袋,320,10240
1001,池伝株式会社,A0910744,コンデンスミルク,1000,930,北乳　コンデンスミルク　チューブ入　1kg,19,本,930,17670
1001,池伝株式会社,A0910759,オレンジピール,12500,16900,ステンスマ　オレンジピール　６×６㎜　１２．５㎏,12,C/S,16900,202800
1001,池伝株式会社,A0910771,クレームドカシス,700,2680,マスネ クレーム・ﾄﾞ・カシス　２０ﾟ  ７００ｍｌ  取寄,3,本,2680,8040
1001,池伝株式会社,A0910772,粒ジャム練乳,2000,2200,日本サイト　つぶジャム　　練乳　２㎏,15,袋,2200,33000
1001,池伝株式会社,A0910773,ExVオリーブオイル,5000,5500,ピエドラ・デル・ソルＥＸＶオリーブオイル　ＭＫ様,50,本,5500,275000
1001,池伝株式会社,A0910788,粉糖,4000,1350,ＤＩ　粉糖　４㎏,1,袋,1350,1350
1001,池伝株式会社,A0910796,ディジョンマスタード,500,480,ナイキフーズ　ディジョンマスタードＮ　５００ｇ,24,袋,480,11520
1001,池伝株式会社,A0910839,フランボワーズジャム,1000,2150,タカ　フランボワーズ　Ｌ４５０ＳＰ,14,袋,2150,30100
1001,池伝株式会社,A0910841,パータグラッセルッシュ,2000,4200,T&C パータグラッセ　ルッシュ ２Kｇ,12,ヶ,4200,50400
1001,池伝株式会社,A0910842,パータグラッセリュクブラン,2000,3600,Ｔ＆Ｃ　パータグラッセ リュクブラン　２㎏,11,ヶ,3600,39600
1001,池伝株式会社,A0910845,西尾の抹茶クリーム,1000,5280,ソントン　西尾の抹茶　　　クリーム　１㎏,2,C/S,5280,10560
1001,池伝株式会社,A0910851,レモンゼスト,500,1300,ラビ･フリュイ　冷凍 レモンゼスト　５００ｇ,14,ヶ,1300,18200
1001,池伝株式会社,A0910873,ポートロイヤルレッドラムLQR,1800,3250,ポートロイヤルレッドラム　４０°ＬＱＲ　１．８Ｌ,1,本,3250,3250
1001,池伝株式会社,A0910878,デルタドライ白いちじく,1000,3100,デルタ　ドライ　白　いちじく　ホール　１ｋｇ,1,kg,3100,3100
1001,池伝株式会社,A0910889,ドライオレンジスライス,1000,2900,三海ドライオレンジスライス輪切り　Ｒ　１ｋｇ,1,袋,2900,2900
1001,池伝株式会社,A0910891,ルッソリモンチェッロ,700,2750,ルッソ　リモンチェロ　３２°７００ｍｌ,2,本,2750,5500
1001,池伝株式会社,A0910892,柚子カット,1000,1800,うめはら　柚子カット　５ｍｍ　１ｋｇ　取寄,4,ヶ,1800,7200
1001,池伝株式会社,A0910894,甘夏ミカン,470,970,金太洋　甘夏みかん　Ｍサイズ　２号缶,7,缶,970,6790
1022,中沢乳業株式会社,A0960044,ミルク,1000,223,Ｍｉｌｋ（ミルク）　無調整牛乳　1000ml,41,本,223.4878049,9163
1022,中沢乳業株式会社,A0960050,サワークリーム,1000,1703,サワークリーム　1000ml,85,個,1703.411765,144790
1022,中沢乳業株式会社,A0960053,セーヌ,1000,542,セーヌ　（殺菌全卵液卵）　1kg,165,本,541.8181818,89400
1022,中沢乳業株式会社,A0960065,エメンタールスライス,1000,12304,エメンタール　スライス　１．８ｍｍ　約１ｋｇ,36,kg,12303.5,442926
1012-402019,有限会社城北青果,A1030151,ペパーミント,100,370,ペパーミント,3,PC,370,1110
1012-402019,有限会社城北青果,A1030154,バジリコ,20,200,バジル（バジリコ）20g,14,PC,200,2800
1012-402019,有限会社城北青果,A1030158,ルッコラ,50,370,ロケットサラダ（ルッコラ）50ｇ,1,PC,370,370
1012-402019,有限会社城北青果,A1030227,トマト,100,170,トマトM,148,個,170,25160
1012-402019,有限会社城北青果,A1030393,むき玉葱,1000,400,むき玉葱,2.16,kg,400,864
1012-402019,有限会社城北青果,A1030476,イタリアンパセリ,15,280,イタリアンパセリ（ハﾟスレー）,1,PC,280,280
1012-402019,有限会社城北青果,A1030483,グリーンカール,160,250,グリンカールL,59,個,250,14750
,株式会社平田牧場,A1360002,三元豚ロースハム,500,1000,冷凍　三元豚ロースハム切落とし【業務用】,100,PC,1000,100000
