H,2026/9/8,,,,,,,,,,,,,,
［データ区分］,［伝票日付］,［自社会員名］,［取引先名］,［納品場所 住所］,［自社管理商品コード］,［商品名］,［規格］,［入数］,［入数単位］,［単価］,［数量］,［単位］,［金額］,［小計］,［税区分］
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社トーホーフードサービス　グループ,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0100245,QP  プロユースからし      マヨネーズ               1k,1ｋ,10,未指定,925,1,本,925,925,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ブーランジェリーエリックカイザージャポン,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PC0130020,メゾンボワール　マッシュルームのパテ,6本,1,箱,2100,1,箱,2100,2100,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ブーランジェリーエリックカイザージャポン,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PC0130014,メゾンボワール　国産鶏レバー～瀬戸内産夏みかんの香り,6本,1,箱,2100,1,箱,2100,2100,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ブーランジェリーエリックカイザージャポン,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PC0130005,MKコンフィチュール　フランボワーズ,,1,本,722.34,1,本,722,722,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110205,田中 ﾋﾞﾀｰﾁｮｺﾌﾗﾜｰﾍﾟｰｽﾄ 1K,1K,6,PC,810,6,PC,4860,4860,外税
D,2026/7/2,Ｐａｓａｒ守谷下り店（株式会社パット）,池伝株式会社,茨城県守谷市野木崎97-3　常磐自動車道守谷SA（下り線内）　パサｰル守谷下り線　小島屋乳業製菓株式会社,PA0290143,サフ　ＢＢＪ　５㎏　ＭＫ様,2ﾌｸﾛX1C/S,0,未指定,9050,1,袋,9050,9050,外税
D,2026/7/2,Ｐａｓａｒ守谷下り店（株式会社パット）,池伝株式会社,茨城県守谷市野木崎97-3　常磐自動車道守谷SA（下り線内）　パサｰル守谷下り線　小島屋乳業製菓株式会社,PA0290278,ＮＫ　ロッシュ　ショコラ　１．５ｋｇ,6ﾌｸﾛX1C/S,0,袋,2900,3,袋,8700,8700,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110213,ｹﾝｺｰ ﾍﾞｲｸﾄﾞ ｽﾗｲｽﾎﾟﾃﾄ 1k,1ｋ,1,PC,630,5,PC,3150,3150,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110176,浜乙女 洗い胡麻 黒 1K,1K×1,1,未指定,990,1,PC,990,990,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110266,ﾉｰｽｲ 北海道 美瑛育ちの粒ｺｰﾝ 1K,1ｋ,10,PC,690,8,PC,5520,5520,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110279,IQF ほうれん草   500g,500g,1,PC,355,3,PC,1065,1065,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110254,ｶｺﾞﾒ 地中海ｸﾞﾘﾙ野菜ﾐｯｸｽ 600g,600g,10,PC,740,3,PC,2220,2220,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110181,東洋水産 冷凍むき枝豆 500g,500g,20,PC,390,5,PC,1950,1950,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110270,オリエンタル VFイースト 500g,,25,未指定,275,8,本,2200,2200,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110145,USA ヒﾟスタチオ 脱皮 W 1K,1K×1,1,未指定,5130,1,kg,5130,5130,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110225,ｱｲｺｸ ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 白 ｱﾙﾐﾆｳﾑﾌﾘｰ 2K,2K,6,缶,2360,1,缶,2360,2360,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110248,ほぐし牛肉の欧風ｶﾚｰﾌｨﾘﾝｸﾞ 2kg,2kg,4,C/S,2520,4,PC,10080,10080,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ひのー,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0110246,ｵﾘｺ 高級ｶｽﾀｰ300  1kg,1kg,3,C/S,800,6,PC,4800,4800,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,有限会社城北青果,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0340027,トマトM,栃木,0,個,130,12,個,1560,1560,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,有限会社城北青果,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0340081,むき玉葱,佐賀,0,個,400,1.08,kg,432,432,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ブーランジェリーエリックカイザージャポン,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0130028,スイートスノー１ｋｇ,1㎏,1,PC,528,2,PC,1056,1056,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,株式会社ブーランジェリーエリックカイザージャポン,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0130020,Nonアレルギ－ベーカーズセパレ,500ｍｌ,1,本,580,6,本,3480,3480,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,三本珈琲株式会社　札幌桑園支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0240010,MKﾌﾞﾚﾝﾄﾞ 500G豆,,0,未指定,17750,1,C/S,17750,17750,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,三本珈琲株式会社　札幌桑園支店,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0240036,三本珈琲 ﾎﾟｰｼｮﾝｶﾞﾑｼﾛｯﾌﾟ 8g×50 個入,8g/個×50/袋×10/cs,0,未指定,2500,1,C/S,2500,2500,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社トーホーフードサービス　グループ,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0100253,ＥＢ冷凍アボカドダイス　５００ｇ,,20,未指定,650,2,PC,1300,1300,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社トーホーフードサービス　グループ,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0100195,QP　凍結全卵　１ｋｇ,1ｋｇ,12,PC,722,3,袋,2166,2166,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社トーホーフードサービス　グループ,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0100238,QP　加糖凍結卵黄20                             500g,500ｇ,20,未指定,684,2,PC,1368,1368,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社トーホーフードサービス　グループ,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0100220,日水　台湾産むきえだ豆　５００ｇ,500g,20,未指定,390,2,袋,780,780,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社トーホーフードサービス　グループ,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0100233,宮崎県産カットほうれん草IQF,５００ｇ,20,PC,375,2,袋,750,750,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,池伝株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0290312,カップ印　スペシャルシュガー　１ｋｇ　（白ざら糖）,20袋×1CS,0,袋,320,4,袋,1280,1280,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,池伝株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0290050,ヴァローナ　パール・クラカン　１ｋｇ,9ｋｇX1C/S,0,kg,5800,1,kg,5800,5800,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,池伝株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0290331,ＺＡＦ　マカダミアナッツスタイル５　１ｋｇ（南ア,10フクロ×１C/S,0,袋,2500,1,袋,2500,2500,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,池伝株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0290321,ピエドラ・デル・ソルＥＸＶオリーブオイル　ＭＫ様,4本×１C/S,0,本,5500,2,本,11000,11000,外税
D,2026/7/2,武蔵小杉店（株式会社パット）,池伝株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0290148,TPグリーンオリーブ　340ｇ,12ﾎﾝX1C/S,0,未指定,310,6,本,1860,1860,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社桐越,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0200076,バジル,pc,0,PC,258,2,PC,516,516,外税
D,2026/7/2,ＰＡＴ円山本店（株式会社パット）,株式会社桐越,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0200258,プチトマト　イエロー,,0,PC,618,2,PC,1236,1236,外税
D,2026/7/3,武蔵小杉店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0140041,【冷生地】クイニーアマン,80個,80,セット,9800,1,セット,9800,9800,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0140012,【冷生地】パンオレザン,80個,80,セット,10360,1,セット,10360,10360,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0140046,【冷生地】パンスイス（仙台）,140個,140,セット,36260,1,セット,36260,36260,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0140002,【冷生地】パンオショコラ,136個,136,セット,17136,1,セット,17136,17136,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0140009,【冷生地】ビション（半のし）,120個,120,セット,10584,1,セット,10584,10584,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,株式会社ＢＥＫＪ　大森工場冷生地部門,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0140047,【冷生地】クロワッサン ルージュ（熊本用）,294個,294,セット,46305,1,セット,46305,46305,外税
D,2026/7/3,ＰＡＴ円山本店（株式会社パット）,石川株式会社,北海道札幌市中央区南一条西27-1-1　マルヤマクラス1F,PA0280070,レギュラーイースト　500ｇバラ,,0,未指定,270,10,個,2700,2700,外税
D,2026/7/3,武蔵小杉店（株式会社パット）,石川株式会社,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PA0280003,東洋グラ　TTGA,30kg 混載10袋～,1,袋,6900,1,袋,6900,6900,外税
D,2026/7/3,武蔵小杉店（株式会社パット）,三本珈琲株式会社　横浜支店,神奈川県川崎市中原区新丸子東3丁目1135番1号　グランツリｰ武蔵小杉　区画145,PC0230005,トロピカーナ　オレンジ　２５０ｍｌ　２４本入,250ml,24,C/S,2880,1,C/S,2880,2880,外税
